Duration (sec)	Status code	Status category	Status color	Pgm code	Pgm step	Pgm para	Pgm cycle	mV	mA	Temperature	Charge count	Discharge count	Thermal Chamber temperature	Thermal Chamber status	Capacity	Analog input 1	Analog input 2	Analog input 3	Analog input 4	Analog input warning 1	Analog input warning 2	Analog input warning 3	Analog input warning 4	Digital input 1	Digital input 2	Digital input 3	Digital input 4	Digital output 1	Digital output 2	Digital output 3	Digital output 4	Analog output 1	Analog output 2	SMB-mV	SMB-mA	SMB-K	SMB-alarm	
131	8	3	3	0	1	2	2	12610	2465	21	1	0	0	0	255	65535	65535	65535	65535	0	0	0	0	0	0	0	0	0	0	0	0	65535	65535	65535	-1	65535	65535	
132	8	3	3	0	1	2	2	12610	2464	21	1	0	0	0	255	65535	65535	65535	65535	0	0	0	0	0	0	0	0	0	0	0	0	65535	65535	65535	-1	65535	65535	
133	8	3	3	0	1	2	2	12610	2464	21	1	0	0	0	255	65535	65535	65535	65535	0	0	0	0	0	0	0	0	0	0	0	0	65535	65535	65535	-1	65535	65535	
134	8	3	3	0	1	2	2	12611	2463	21	1	0	0	0	255	65535	65535	65535	65535	0	0	0	0	0	0	0	0	0	0	0	0	65535	65535	65535	-1	65535	65535	
135	8	3	3	0	1	2	2	12610	2463	21	1	0	0	0	255	65535	65535	65535	65535	0	0	0	0	0	0	0	0	0	0	0	0	65535	65535	65535	-1	65535	65535	
136	8	3	3	0	1	2	2	12611	2462	21	1	0	0	0	255	65535	65535	65535	65535	0	0	0	0	0	0	0	0	0	0	0	0	65535	65535	65535	-1	65535	65535	
137	8	3	3	0	1	2	2	12610	2461	21	1	0	0	0	255	65535	65535	65535	65535	0	0	0	0	0	0	0	0	0	0	0	0	65535	65535	65535	-1	65535	65535	
138	8	3	3	0	1	2	2	12611	2461	21	1	0	0	0	255	65535	65535	65535	65535	0	0	0	0	0	0	0	0	0	0	0	0	65535	65535	65535	-1	65535	65535	
139	8	3	3	0	1	2	2	12611	2460	21	1	0	0	0	255	65535	65535	65535	65535	0	0	0	0	0	0	0	0	0	0	0	0	65535	65535	65535	-1	65535	65535	
140	8	3	3	0	1	2	2	12611	2460	21	1	0	0	0	255	65535	65535	65535	65535	0	0	0	0	0	0	0	0	0	0	0	0	65535	65535	65535	-1	65535	65535	
141	8	3	3	0	1	2	2	12610	2458	21	1	0	0	0	255	65535	65535	65535	65535	0	0	0	0	0	0	0	0	0	0	0	0	65535	65535	65535	-1	65535	65535	
142	8	3	3	0	1	2	2	12610	2458	21	1	0	0	0	255	65535	65535	65535	65535	0	0	0	0	0	0	0	0	0	0	0	0	65535	65535	65535	-1	65535	65535	
143	8	3	3	0	1	2	2	12610	2457	21	1	0	0	0	255	65535	65535	65535	65535	0	0	0	0	0	0	0	0	0	0	0	0	65535	65535	65535	-1	65535	65535	
144	8	3	3	0	1	2	2	12610	2456	21	1	0	0	0	255	65535	65535	65535	65535	0	0	0	0	0	0	0	0	0	0	0	0	65535	65535	65535	-1	65535	65535	
